split,target,R2,MAE,n_train,n_test
random_split,CO2_uptake,0.9822133547253192,0.5551886431898285,250900,27878
random_split,WC,0.9856849002597611,0.5577467575217311,250900,27878
random_split,Selectivity,0.9753310484332046,0.09922873120123112,250900,27878
random_split,HoA,0.8166114189358685,0.5517880429946777,250900,27878
group_split,CO2_uptake,0.9441340216099164,1.137817355975248,253475,25303
group_split,WC,0.9539488001230622,1.0912399111680138,253475,25303
group_split,Selectivity,0.8379262091220628,0.22312125654565712,253475,25303
group_split,HoA,0.7372260291571622,0.662086366125089,253475,25303
